ID,Name,Likes,Tips,Rating
4c0448d9310fc9b6bf1dc761,Curry Spot,5,10,7.8
4c194631838020a13e78e561,Melanies Roti Bar And Grill,3,2,6.0
4c04544df423a593ac83d116,Cumin Indian Cuisine,13,9,6.0
551b7f75498e86c00a0ed2e1,Hungry Bird,8,3,6.8
4c194631838020a13e78e561,Melanies Roti Bar And Grill,3,2,6.0
4b5a4dc8f964a520a2bb28e3,Taj Mahal,38,26,8.0
545835a1498e820edc6f636f,Bombay Grill,14,4,7.1
4af0d31bf964a5207ddf21e3,Pak Nasheman,9,4,7.5
52213c4211d295d4c57a607c,Ashoka Grill,8,14,7.1
564d283d498e6e851df79d87,Great Indian Curry,3,2,6.9
512a9ea9e4b004fb8eeb84e5,Silver Krust,13,3,8.3
4db0f4371e729fcc56497f20,Mashallah,20,7,7.8
4b718914f964a520c04b2de3,Madina Restaurant and Sweets,17,12,6.7
592e1dae345cbe0fc77cf6c9,Diwan Grill,16,5,8.7
52f18573498ec2c34e830ffd,Kanan's Indian Restaurant,24,8,7.9
57596dad498e732300496b23,Dosa Royale,75,22,8.8
57596dad498e732300496b23,Dosa Royale,75,22,8.8
543870ec498ec64de510608d,Masala Grill,39,14,8.0
4bb93b70cf2fc9b6fe64a002,Gandhi Fine Indian Cuisine,82,47,8.7
5539753f498edbace4746b67,Tandoori Masala,12,2,7.9
4f6cae2ee4b0d4a5afcef5c0,Delhi Heights,22,8,8.1
519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine,14,8,7.7
4db0f4371e729fcc56497f20,Mashallah,20,7,7.8
545835a1498e820edc6f636f,Bombay Grill,14,4,7.1
4ae7876ef964a5201eac21e3,Kismat Indian Restaurant,45,25,8.0
54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,32,17,7.8
5914ff32b23dfa207eca38de,Mumbai Masala,14,7,7.2
529d382a11d2dd5ef107e641,Chapati House - NYC,73,18,7.7
54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,32,17,7.8
56d87f3d498ee215abee5724,Delhi Masala,13,3,8.2
54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,32,17,7.8
519fe6f5498e30595d370c44,Bawarchi,9,4,7.6
5272ca4511d22488f6895caf,Drunken Munkey,208,61,8.4
56ed855a498ef3bb022352c3,Mughlai Indian Cuisine,27,9,8.0
4fe4fb50c2eee335e4fea69d,Moti Mahal Delux,186,83,8.5
42489a80f964a5208b201fe3,Swagat,106,39,8.5
5953e40462420b044e8989f4,indikitch,62,3,7.9
4acf6ed7f964a520a0d320e3,Cafe Spice,14,15,7.9
4b4aab62f964a520978c26e3,Dil-e Punjab Deli,108,44,8.8
591794df2be42556988e4a8e,Rahi,115,24,8.7
424de080f964a520ae201fe3,Manhattan Valley,42,30,8.1
538ba1f2498e279098e4210a,Awadh,51,13,8.1
49c5ad0af964a5201b571fe3,Roti Roll,114,58,7.6
49c5ad0af964a5201b571fe3,Roti Roll,114,58,7.6
4a70a75bf964a52016d81fe3,Bhatti Indian Grill,424,161,8.7
57f7cbbe498edf8f07c7ba83,Sahib,60,13,8.6
4a12eb1ff964a52099771fe3,Dhaba,497,164,8.3
4fcf82f54fc6ada5874da997,Chote Nawab,215,70,8.3
43d537d0f964a520402e1fe3,Vatan,132,46,8.1
4aa56c81f964a5204e4820e3,Seva Indian Cuisine,239,133,9.0
4afdcf29f964a520162b22e3,Rajbhog Sweets,37,25,8.5
4c7060e734443704ca0e245f,Kababish,30,17,7.8
4b998d3ff964a520fc8235e3,Maharaja Sweets & Snacks,52,25,8.3
4b189424f964a52043d423e3,Dera,48,19,7.7
5da4fbf091a08400078be19d,Angel Indian Restaurant,11,1,8.0
49ebb18ff964a52016671fe3,Delhi Heights,34,24,7.8
4e334b7bb0fb17f64f81a8b2,Premium Sweets & Restaurant,11,6,7.4
527d9cbc498edf0db10bde6b,Samudra,49,16,8.7
4afdcf29f964a520162b22e3,Rajbhog Sweets,37,25,8.5
4b998d3ff964a520fc8235e3,Maharaja Sweets & Snacks,52,25,8.3
5da4fbf091a08400078be19d,Angel Indian Restaurant,11,1,8.0
49ebb18ff964a52016671fe3,Delhi Heights,34,24,7.8
527d9cbc498edf0db10bde6b,Samudra,49,16,8.7
5da4fbf091a08400078be19d,Angel Indian Restaurant,11,1,8.0
49ebb18ff964a52016671fe3,Delhi Heights,34,24,7.8
4a4e780ff964a52083ae1fe3,Tangra Masala,31,30,7.4
5782c9ce498edde587f5aa14,Tikka Indian Grill,10,2,7.9
4bbe78bfba9776b070cefdc8,Mehak Mughlai Cuisine,8,10,7.5
4b522029f964a520f26927e3,Sohna Punjab,8,2,7.6
5782c9ce498edde587f5aa14,Tikka Indian Grill,10,2,7.9
4f1b77d7e4b044fd359e6d21,India Cafe,6,3,7.3
4bb2bc48a32876b02e0b01fe,Tandoori Hut,6,15,6.0
4adbaef0f964a520ff2921e3,Punjabi Kabab House,7,7,5.9
4babc24ef964a5200ac73ae3,Royal India Palace,7,3,5.8
50a287a7e4b0033f830f06db,Raj's Indian Kitchen,25,12,7.7
5b931ea69d7468002c3b1382,Adda,129,35,9.0
4b1b341bf964a5208af923e3,Five Star Banquet,30,31,7.0
5b931ea69d7468002c3b1382,Adda,129,35,9.0
50e1c9708aca7ff2b3e50353,Nepalese Indian Restaurant,55,18,8.2
5625af69498ebbc62b61a382,Aaheli Restaurant,12,6,7.6
572d7c21498e098658a0edd7,Punjabi kabab and gyro,2,1,0.0
4ee8dddb5c5c99a2dc780825,New Kabob Diner,0,0,0.0
4f1f4996e4b01ff351a7a50c,Ayna Agra Indian Restaurant,38,12,8.2
539a4ff0498e79c6745baba9,Masala Box,9,2,8.2
539e27b0498e2eba582085ee,masalabox,7,2,6.7
4b787c49f964a5209cd12ee3,Santoor Indian Restaurant,37,18,7.5
4b9030abf964a520397b33e3,Taste of Cochin,9,4,6.7
4c0e256ab1b676b06589e186,Sohna Punjab,3,3,6.4
4df0f39dd4c04d0392c853ea,Sagar Chinese,7,6,5.9
4dc0aaedae606fe8b71c226b,Saffron Cuisine/ Bar,1,5,0.0
4b96926df964a520abd534e3,Khyber Indian Restaurant,1,1,0.0
4be334312fc7d13a7a81083a,Taj Mahal Restaurant & Party Hall,24,5,7.6
4bad49a0f964a52041423be3,Annam Brahma,15,3,8.0
4cc08b0900d83704ed474b5c,Sybil's Bakery,8,3,7.0
4bad49a0f964a52041423be3,Annam Brahma,15,3,8.0
4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,6,7.3
4cc08b0900d83704ed474b5c,Sybil's Bakery,8,3,7.0
562035d9498e2abb4137c2c7,Yaar Indian Restaurant,31,7,8.2
527ffc0811d2d329d5e49abd,Jackson Diner,9,3,8.1
4e4e3e22bd4101d0d7a5c2d1,Kerala Kitchen,5,6,8.4
4b647b56f964a520c4b62ae3,Usha Foods & Usha Sweets,33,10,7.5
4b787c49f964a5209cd12ee3,Santoor Indian Restaurant,37,18,7.5
4c0c01e0bbc676b00d6b4cd5,Mumbai Xpress,16,18,6.8
4c76ff35a5676dcb72671721,Flavor Of India,6,6,5.9
4df0f39dd4c04d0392c853ea,Sagar Chinese,7,6,5.9
4e6bfe1c7d8b2c711b17bbe5,Surya sweets and snacks,0,1,0.0
4f580c1be4b0bdfd0e7e8102,Rajdhani Indian Restaurant,13,6,8.5
4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,6,7.3
4b8d5734f964a520b1f532e3,BBQ Village Palace,1,3,0.0
5623f6f9498e5a44a08bfae8,Boishakhi Restaurant,17,7,8.1
4dc0aaedae606fe8b71c226b,Saffron Cuisine/ Bar,1,5,0.0
4f188adfe4b0cae4b525a694,Haveli,14,8,7.0
4b9be038f964a520393036e3,Dosa Garden,18,17,7.7
4be74a502468c928505a0243,Taste Of India II,29,14,8.3
4ce99c2df1c6236a1b7266f0,Taste Of India,1,0,0.0
4b9be038f964a520393036e3,Dosa Garden,18,17,7.7
4b65f2e3f964a5206e0a2be3,Al-Humza,1,1,0.0
4db0f4371e729fcc56497f20,Mashallah,20,7,7.8
519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine,14,8,7.7
564d283d498e6e851df79d87,Great Indian Curry,3,2,6.9
4b65f2e3f964a5206e0a2be3,Al-Humza,1,1,0.0
4be74a502468c928505a0243,Taste Of India II,29,14,8.3
4ce99c2df1c6236a1b7266f0,Taste Of India,1,0,0.0
5272ca4511d22488f6895caf,Drunken Munkey,208,61,8.4
4b65f2e3f964a5206e0a2be3,Al-Humza,1,1,0.0
4b65f2e3f964a5206e0a2be3,Al-Humza,1,1,0.0
4bad49a0f964a52041423be3,Annam Brahma,15,3,8.0
4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,6,7.3
4cc08b0900d83704ed474b5c,Sybil's Bakery,8,3,7.0
4cb4a712db32f04dcb5adf4d,Moon Tikka,1,1,0.0
4c2e8df2213c2d7f94742f5d,Tikka Grill,3,2,0.0
551b7f75498e86c00a0ed2e1,Hungry Bird,8,3,6.8
4fe4fb50c2eee335e4fea69d,Moti Mahal Delux,186,83,8.5
4a5b660df964a52015bb1fe3,Amma,101,67,8.1
4c48da9f3013a59356c5f0e1,Saffron Garden,17,16,7.7
5b931ea69d7468002c3b1382,Adda,129,35,9.0
5539753f498edbace4746b67,Tandoori Masala,12,2,7.9
564d283d498e6e851df79d87,Great Indian Curry,3,2,6.9
50a287a7e4b0033f830f06db,Raj's Indian Kitchen,25,12,7.7
4b1b341bf964a5208af923e3,Five Star Banquet,30,31,7.0
4b65f2e3f964a5206e0a2be3,Al-Humza,1,1,0.0
